"NAM","DAT","PERIOD","ӘАОЖ(каталог бойынша)","LӘАОЖ(каталог бойынша)","ОЖА","LОЖА","VAL"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","45 172"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","47 030"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","58 359"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","49 842"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","60 953"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","54 156"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","61 792"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","44 529"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","43 020"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","40 841"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","40 063"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","ауылдық жер","0","40 842"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","139 504"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","137 797"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","140 785"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","160 494"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","90 873"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","123 045"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","98 986"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","92 852"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","146 379"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","110 414"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","135 572"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","137 204"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","114 685"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","141 702"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","146 443"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","148 769"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","168 447"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","159 328"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","164 681"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","141 791"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","128 359"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","140 256"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","128 839"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚАЗАҚСТАН РЕСПУБЛИКАСЫ","0","Барлығы","0","120 851"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 524"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 682"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 434"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","7 562"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 597"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 000"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 613"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 546"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 943"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 139"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 735"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 336"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 703"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 628"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 659"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 418"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","7 115"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 591"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","7 166"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","6 010"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 353"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","5 371"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","4 749"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚОСТАНАЙ ОБЛЫСЫ","0","Барлығы","0","4 964"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","10 355"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","10 813"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","11 979"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","13 205"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","8 564"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","11 241"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","8 843"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","8 408"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","12 246"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","9 720"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","11 428"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","11 767"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","10 185"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","10 748"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","12 194"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","11 481"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","13 117"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","12 344"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","13 100"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","10 973"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","7 876"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","9 891"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","9 401"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","Барлығы","0","7 511"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 772"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 780"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 995"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 273"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 929"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 669"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 724"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 386"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 387"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 604"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 394"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 117"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 410"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 870"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 895"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 465"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 145"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 917"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","6 481"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","5 226"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 800"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 684"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 289"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","АҚМОЛА ОБЛЫСЫ","0","Барлығы","0","4 450"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","9 539"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","9 912"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 280"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","11 762"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","7 153"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 009"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","7 598"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","7 164"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 065"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","8 421"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","9 703"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 506"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","8 960"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","9 758"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 573"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 398"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","11 805"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","11 189"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","11 790"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","10 012"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","6 732"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","9 131"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","8 631"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚАРАҒАНДЫ ОБЛЫСЫ","0","қалалық жер","0","6 509"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 800"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 731"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 827"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","4 677"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 071"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 586"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 252"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 302"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 829"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 671"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 368"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 876"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 181"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 605"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 986"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","4 047"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","4 544"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","4 075"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","4 554"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 878"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 755"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 765"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 213"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ҚОСТАНАЙ ОБЛЫСЫ","0","қалалық жер","0","3 421"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 235"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 369"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 235"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 987"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 821"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 854"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 948"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 749"
"Тіркелген некелер саны(Адам)","2007 жыл","200712","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","7 112"
"Тіркелген некелер саны(Адам)","2003 жыл","200312","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 313"
"Тіркелген некелер саны(Адам)","2008 жыл","200812","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 992"
"Тіркелген некелер саны(Адам)","2006 жыл","200612","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 483"
"Тіркелген некелер саны(Адам)","2004 жыл","200412","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 310"
"Тіркелген некелер саны(Адам)","2016 жыл","201612","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 173"
"Тіркелген некелер саны(Адам)","2010 жыл","201012","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 484"
"Тіркелген некелер саны(Адам)","2015 жыл","201512","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 125"
"Тіркелген некелер саны(Адам)","2013 жыл","201312","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 896"
"Тіркелген некелер саны(Адам)","2014 жыл","201412","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","6 508"
"Тіркелген некелер саны(Адам)","2012 жыл","201212","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","7 018"
"Тіркелген некелер саны(Адам)","2017 жыл","201712","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 646"
"Тіркелген некелер саны(Адам)","2022 жыл","202212","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 703"
"Тіркелген некелер саны(Адам)","2021 жыл","202112","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","5 197"
"Тіркелген некелер саны(Адам)","2020 жыл","202012","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 870"
"Тіркелген некелер саны(Адам)","2023 жыл","202312","ПАВЛОДАР ОБЛЫСЫ","0","Барлығы","0","4 435"
"Тіркелген некелер саны(Адам)","2019 жыл","201912","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","9 290"
"Тіркелген некелер саны(Адам)","2018 жыл","201812","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","9 421"
"Тіркелген некелер саны(Адам)","2009 жыл","200912","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","11 776"
"Тіркелген некелер саны(Адам)","2011 жыл","201112","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","12 730"
"Тіркелген некелер саны(Адам)","2000 жыл","200012","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","8 764"
"Тіркелген некелер саны(Адам)","2005 жыл","200512","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","11 028"
"Тіркелген некелер саны(Адам)","2002 жыл","200212","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","9 571"
"Тіркелген некелер саны(Адам)","2001 жыл","200112","ШЫҒЫС ҚАЗАҚСТАН ОБЛЫСЫ","0","Барлығы","0","8 825"
